email,first_name,last_name,phone_num,class_size,school_id,is_active,password,password_confirmation,role
euice@secret.com,volunteer,volunteer,219-808-2489,,,true,123secret,123secret,volunteer
admin@secret.com,Admin,Admin,412-142-1492,,,true,secretpassword,secretpassword,admin
teacher@secret.com,Teacher,Teacher,225-773-5564,2,1,true,secretpassword,secretpassword,teacher
fangorn@secret.com,Marsha,Owens,597-307-7959,20,1,true,6d83a8c084731ee73eb5f9398b923183,6d83a8c084731ee73eb5f9398b923183,teacher
rgarcia@secret.net,Holly,Lawson,412-733-7854,20,1,true,123secret,123secret,teacher
firstpr@secret.net,Pam,Phillips,307-276-8755,30,1,true,123secret,123secret,teacher
webdragon@secret.net,Chandra,Roberts,412-853-7126,40,2,true,123secret,123secret,teacher
jguyer@secret.com,Mary,Urbaniak,412-363-8145,30,1,true,123secret,123secret,teacher
sakusha@secret.com,Anthony,Butz,412-452-7041,40,2,true,123secret,123secret,teacher
crandall@secret.net,Ronald,Hatch,412-439-0310,20,3,true,123secret,123secret,teacher
xhuang1@andrew.cmu.edu,Killian,Huang,914-327-1375,20,1,true,123secret,123secret,admin
